"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2021","5,039,877","",
"02","Alaska","2021","732,673","",
"04","Arizona","2021","7,276,316","",
"05","Arkansas","2021","3,025,891","",
"06","California","2021","39,237,836","",
"08","Colorado","2021","5,812,069","",
"09","Connecticut","2021","3,605,597","",
"10","Delaware","2021","1,003,384","",
"11","District of Columbia","2021","670,050","",
"12","Florida","2021","21,781,128","",
"13","Georgia","2021","10,799,566","",
"15","Hawaii","2021","1,441,553","",
"16","Idaho","2021","1,900,923","",
"17","Illinois","2021","12,671,469","",
"18","Indiana","2021","6,805,985","",
"19","Iowa","2021","3,193,079","",
"20","Kansas","2021","2,934,582","",
"21","Kentucky","2021","4,509,394","",
"22","Louisiana","2021","4,624,047","",
"23","Maine","2021","1,372,247","",
"24","Maryland","2021","6,165,129","",
"25","Massachusetts","2021","6,984,723","",
"26","Michigan","2021","10,050,811","",
"27","Minnesota","2021","5,707,390","",
"28","Mississippi","2021","2,949,965","",
"29","Missouri","2021","6,168,187","",
"30","Montana","2021","1,104,271","",
"31","Nebraska","2021","1,963,692","",
"32","Nevada","2021","3,143,991","",
"33","New Hampshire","2021","1,388,992","",
"34","New Jersey","2021","9,267,130","",
"35","New Mexico","2021","2,115,877","",
"36","New York","2021","19,835,913","",
"37","North Carolina","2021","10,551,162","",
"38","North Dakota","2021","774,948","",
"39","Ohio","2021","11,780,017","",
"40","Oklahoma","2021","3,986,639","",
"41","Oregon","2021","4,246,155","",
"42","Pennsylvania","2021","12,964,056","",
"44","Rhode Island","2021","1,095,610","",
"45","South Carolina","2021","5,190,705","",
"46","South Dakota","2021","895,376","",
"47","Tennessee","2021","6,975,218","",
"48","Texas","2021","29,527,941","",
"49","Utah","2021","3,337,975","",
"50","Vermont","2021","645,570","",
"51","Virginia","2021","8,642,274","",
"53","Washington","2021","7,738,692","",
"54","West Virginia","2021","1,782,959","",
"55","Wisconsin","2021","5,895,908","",
"56","Wyoming","2021","578,803","",
